日期,天气状况,温度
2020/11/01,小雨/小雨,21℃/16℃
2020/11/02,小雨/晴,20℃/13℃
2020/11/03,多云/多云,18℃/12℃
2020/11/04,多云/阴,19℃/14℃
2020/11/05,多云/晴,20℃/16℃
2020/11/06,晴/晴,24℃/16℃
2020/11/07,晴/晴,23℃/14℃
2020/11/08,晴/晴,20℃/12℃
2020/11/09,多云/晴,18℃/12℃
2020/11/10,晴/晴,19℃/12℃
2020/11/11,晴/晴,19℃/13℃
2020/11/12,多云/晴,20℃/14℃
2020/11/13,晴/晴,19℃/14℃
2020/11/14,晴/晴,20℃/15℃
2020/11/15,多云/晴,22℃/15℃
2020/11/16,小雨/小雨,21℃/17℃
2020/11/17,多云/阴,24℃/19℃
2020/11/18,多云/小雨,25℃/20℃
2020/11/19,阴/阴,23℃/15℃
2020/11/20,多云/多云,16℃/13℃
2020/11/21,小雨/小雨,19℃/14℃
2020/11/22,小雨/阴,15℃/11℃
2020/11/23,阴/小雨,14℃/11℃
2020/11/24,小雨/小雨,13℃/11℃
2020/11/25,小雨/中雨,15℃/12℃
2020/11/26,小雨/小雨,15℃/12℃
2020/11/27,小雨/多云,12℃/9℃
2020/11/28,阴/多云,12℃/7℃
2020/11/29,多云/多云,12℃/7℃
2020/11/30,多云/多云,12℃/8℃
2020/12/01,多云/多云,13℃/10℃
2020/12/02,多云/多云,13℃/8℃
2020/12/03,多云/多云,11℃/5℃
2020/12/03,多云/多云,11℃/5℃
2020/12/04,多云/多云,11℃/5℃
2020/12/05,多云/阴,11℃/7℃
2020/12/06,多云/阴,15℃/9℃
2020/12/07,小雨/小雨,13℃/8℃
2020/12/08,多云/晴,12℃/8℃
2020/12/09,阴/多云,13℃/9℃
2020/12/10,阴/小雨,13℃/10℃
2020/12/11,阴/阴,12℃/8℃
2020/12/12,多云/多云,12℃/6℃
2020/12/13,多云/小雨,12℃/2℃
2020/12/14,多云/多云,6℃/2℃
2020/12/15,多云/晴,6℃/2℃
2020/12/16,多云/晴,7℃/2℃
2020/12/17,多云/阴,9℃/4℃
2020/12/18,小雨/阴,8℃/4℃
2020/12/19,多云/晴,8℃/2℃
2020/12/20,晴/多云,8℃/2℃
2020/12/21,晴/晴,10℃/3℃
2020/12/22,晴/多云,11℃/5℃
2020/12/23,阴/阴,12℃/6℃
2020/12/24,多云/阴,12℃/4℃
2020/12/25,多云/多云,11℃/5℃
2020/12/26,阴/阴,13℃/9℃
2020/12/27,多云/晴,13℃/7℃
2020/12/28,多云/阴,15℃/8℃
2020/12/29,小雨/雨夹雪,14℃/-4℃
2020/12/30,晴/晴,-2℃/-6℃
2020/12/31,晴/晴,0℃/-4℃
2021/01/01,晴/多云,5℃/-1℃
2021/01/02,多云/多云,7℃/2℃
2021/01/03,阴/阴,10℃/5℃
2021/01/04,阴/阴,12℃/7℃
2021/01/05,阴/多云,9℃/2℃
2021/01/06,阴/阴,7℃/-5℃
2021/01/07,阴/多云,-3℃/-6℃
2021/01/08,晴/多云,-1℃/-6℃
2021/01/09,晴/阴,3℃/-2℃
2021/01/10,多云/阴,5℃/0℃
2021/01/11,多云/晴,6℃/-1℃
2021/01/12,晴/晴,8℃/1℃
2021/01/13,晴/晴,15℃/4℃
2021/01/14,多云/多云,16℃/6℃
2021/01/15,晴/阴,18℃/4℃
2021/01/16,阴/多云,7℃/0℃
2021/01/17,晴/晴,5℃/-1℃
2021/01/18,晴/晴,10℃/2℃
2021/01/19,晴/多云,10℃/5℃
2021/01/20,多云/小雨,15℃/7℃
2021/01/21,小雨/小雨,16℃/9℃
2021/01/22,小雨/小雨,11℃/7℃
2021/01/23,小雨/阴,9℃/4℃
2021/01/24,多云/多云,12℃/6℃
2021/01/25,阴/小雨,14℃/8℃
2021/01/26,小雨/阴,11℃/6℃
2021/01/27,多云/阴,10℃/6℃
2021/01/28,晴/晴,10℃/0℃
2021/01/29,晴/晴,8℃/2℃
2021/01/30,多云/多云,13℃/5℃
2021/01/31,阴/小雨,16℃/9℃
2021/02/01,小雨/多云,11℃/4℃
2021/02/02,晴/晴,10℃/4℃
2021/02/03,多云/晴,13℃/6℃
2021/02/04,晴/小雨,12℃/8℃
2021/02/05,小雨/多云,11℃/7℃
2021/02/06,晴/晴,16℃/7℃
2021/02/07,晴/阴,17℃/6℃
2021/02/08,阴/阴,9℃/4℃
2021/02/09,多云/阴,10℃/5℃
2021/02/10,阴/阴,12℃/7℃
2021/02/11,中雨/阴,11℃/7℃
2021/02/12,阴/阴,13℃/9℃
2021/02/13,多云/多云,15℃/9℃
2021/02/14,多云/多云,16℃/8℃
2021/02/15,多云/阴,11℃/4℃
2021/02/16,多云/晴,13℃/4℃
2021/02/17,晴/晴,8℃/1℃
2021/02/18,晴/晴,9℃/2℃
2021/02/19,晴/晴,16℃/7℃
2021/02/20,晴/晴,22℃/11℃
2021/02/21,晴/多云,24℃/11℃
2021/02/22,多云/晴,24℃/7℃
2021/02/23,多云/多云,12℃/7℃
2021/02/24,多云/阴,14℃/11℃
2021/02/25,小雨/小雨,16℃/8℃
2021/02/26,小雨/小雨,10℃/8℃
2021/02/27,小雨/小雨,12℃/9℃
2021/02/28,小雨/小雨,16℃/11℃
